Entity,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
World,2010,0.07818927,0.05044529,0.18785676,0.41714868,0.3580038,0.038882706,0.102061465
World,2011,0.056684334,,0.19754878,0.31129825,0.34665465,0.03656066,0.09648669
World,2012,0.06187914,0.08569454,0.16660058,0.23263325,0.3375742,0.038037654,0.08839028
World,2013,0.08219819,0.06411118,0.16666164,0.1794014,0.24888833,0.042512473,0.08920628
World,2014,0.08237512,0.06533503,0.17219925,0.16125813,0.21637706,0.042456634,0.080203146
World,2015,0.07277113,0.05884901,0.14052741,0.12107989,0.223889,0.036572017,0.068961546
World,2016,0.071178205,0.06780182,0.11632308,0.106340416,0.24726917,0.04838911,0.06385536
World,2017,0.07107003,0.07091718,0.10615218,0.083659746,0.20621318,0.05072171,0.05995916
World,2018,0.055360332,0.06758344,0.10004871,0.07113868,0.14910279,0.039836742,0.05087996
World,2019,0.06393309,0.067305215,0.08638764,0.062119152,0.21183106,0.041408572,0.044592004
World,2020,0.07247308,0.054264043,0.08626575,0.055443965,0.10665299,0.045965873,0.03713682
World,2021,0.067342535,0.06761599,0.07516697,0.04834554,0.11424175,0.04829987,0.033123367
World,2007,,0.05007819,0.21350704,,,,0.10228007
World,2008,,0.055424795,0.21072298,,,,0.10760544
World,2009,,0.09531676,0.19494483,,,,0.1053068
World,2000,,,0.1707826,,,,0.16236141
World,2001,,,0.16112547,,,,0.14201893
World,2002,,,0.13536467,,,,0.13127674
World,2003,,,0.12575519,,,,0.11504814
World,2004,,,0.17802335,,,,0.116608016
World,2005,,,0.15135488,,,,0.10943693
World,2006,,,0.14865257,,,,0.11239332
World,1983,,,,,,,0.32785082
World,1984,,,,,,,0.32007387
World,1985,,,,,,,0.2972214
World,1986,,,,,,,0.2641942
World,1987,,,,,,,0.2564197
World,1988,,,,,,,0.21215738
World,1989,,,,,,,0.19643468
World,1990,,,,,,,0.2086876
World,1991,,,,,,,0.20031708
World,1992,,,,,,,0.20065267
World,1993,,,,,,,0.21116926
World,1994,,,,,,,0.1982574
World,1995,,,,,,,0.20773248
World,1996,,,,,,,0.18573205
World,1997,,,,,,,0.16313075
World,1998,,,,,,,0.15288077
World,1999,,,,,,,0.15087588
